"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN24FA125","ACC","193869","2024-03-02T11:42:00Z","Afton","Minnesota","United States",,"N2387B","3687","false","Aviation","",,,"Fatal","2","0","0",,,,"44.910766000000002","-92.798598999999996","GLOBE","GC-1B","AIR","21D","Lake Elmo","false","1",,,"PERS","091","Destroyed","VMC",,"Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193869/pdf"
"GAA24WA107","ACC","193892","2024-03-01T18:50:00Z","Warsaw","Other Foreign","Poland",,"D-EKIQ",,"false","Aviation","",,,"Minor","0","0","2",,,,,,"CESSNA","150",,,,"false",,,,"PERS","NUSN",,,,"Enroute","N/A",,,"","None"
"ERA24LA128","ACC","193882","2024-03-01T14:43:00Z","Edgewater","Florida","United States",,"N143CC","9956CC","false","Aviation","",,,"Minor","0","0","1",,,,"28.978916999999999","-80.924778000000003","CUB CRAFTERS","PA18-150","AIR","X50","MASSEY RANCH AIRPARK","false","1",,,"BANT","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193882/pdf"
"GAA24WA106","ACC","193890","2024-02-28T18:15:00Z","Narsaq",,"Greenland",,"OY-HIO",,"false","Aviation","",,,"None","0","0","0",,,,,,"BELL","206","HELI","N/A",,"false",,,,"POSI","NUSN","Substantial",,,"Enroute","N/A",,"Prelim","","None"
"CEN24LA126","ACC","193875","2024-02-28T17:52:00Z","Pineville","Louisiana","United States",,"N7770K","18052726","false","Aviation","",,,"None","0","0","0",,,,"31.394904","-92.295772999999997","CESSNA","180","AIR","ESF","ESLER RGNL","false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193875/pdf"
"WPR24LA100","ACC","193878","2024-02-28T05:58:00Z","Albuquerque","New Mexico","United States",,"N26DR","4697358","false","Aviation","",,,,,,,,,,"35.039068","-106.60977","PIPER","PA46-500TP","AIR","ABQ","ALBUQUERQUE INTL SUNPORT","false","1",,,"INST","091","Substantial",,"PEPPER EQUIPMENT CORP","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193878/pdf"
"ERA24LA124","ACC","193858","2024-02-27T18:22:00Z","Sanford","Florida","United States",,"N485DA","1830","false","Aviation","",,,"Serious","0","1","0",,,,"28.778514999999999","-81.248800000000003","CIRRUS DESIGN CORP","SR20","AIR","SFB","ORLANDO SANFORD INTL","false","1",,,"INST","091","Substantial","VMC","AEROSIM ACADEMY INC","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193858/pdf"
"ANC24LA017","ACC","193859","2024-02-27T15:30:00Z","Kekaha","Hawaii","United States",,"N633JH","0230E","false","Aviation","",,,"Serious","0","1","4",,,,"22.166129000000002","-159.67218","MD HELICOPTER","369E/500E","HELI","LIH",,"false","1",,"NSCH","OWRK","135","Substantial","VMC","JACK HARTER HELICOPTERS INC","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193859/pdf"
"WPR24LA099","ACC","193877","2024-02-27T11:36:00Z","Dallesport","Washington","United States",,"N518SW","18-4389","false","Aviation","",,,,"0","0","0",,,,"45.618529000000002","-121.16719000000001","PIPER","PA-18A 150","AIR","KDLS",,"false","1",,,"PERS","091","Minor",,,"Standing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193877/pdf"
"CEN24LA123","ACC","193850","2024-02-26T17:01:00Z","Clarion","Iowa","United States",,"N35719","17256932","false","Aviation","",,,"Minor","0","0","1",,,,"42.740310000000001","-93.758926000000002","CESSNA","172I","AIR","CAV","CLARION MUNI","false","1",,,"INST","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193850/pdf"
"WPR24LA095","ACC","193848","2024-02-26T14:32:00Z","Vista West","Wyoming","United States",,"N739UE","17270810","false","Aviation","",,,,,,,,,,"42.902473000000001","-106.46317999999999","CESSNA","172N","AIR",,,"false","1",,,"PERS","091","Substantial",,"AMERICAN PATROLS INC","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193848/pdf"
"GAA24WA102","ACC","193857","2024-02-26T12:00:00Z","Staniel Cay",,"Bahamas",,"C6-WET",,"false","Aviation","",,,"None","0","0","0",,,,,,"MAULE","M7",,,,"false",,,,,,,,,"Landing","N/A",,,"",""
"ERA24LA123","ACC","193847","2024-02-26T00:35:00Z","Moultonborough","New Hampshire","United States",,"N43892","7551","false","Aviation","",,,"None","0","0","0",,,,"43.768095000000002","-71.387594000000007","TAYLORCRAFT","BC12-D","AIR","4MB","MOULTONBOROUGH","false","1",,,"INST","091","Substantial",,,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193847/pdf"
"CEN24LA120","ACC","193834","2024-02-25T18:45:00Z","Patterson","Louisiana","United States",,"N72BH","165","false","Aviation","",,,"Serious","0","1","0",,,,"29.709546","-91.338978999999995","PULSAR","I","AIR","PTN","HARRY P WILLIAMS MEML","true","1",,,"PERS","091","Destroyed","VMC",,"Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193834/pdf"
"CEN24LA121","ACC","193836","2024-02-25T18:10:00Z","Watertown","South Dakota","United States",,"N38696","28-7790577","false","Aviation","",,,"None","0","0","0",,,,"44.916091999999999","-97.154861999999994","PIPER","PA-28-181","AIR","ATY",,"false","1",,,"INST","091","Substantial","VMC","LAKE AREA TECHNICAL COLLEGE","Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193836/pdf"
"GAA24WA111","ACC","193924","2024-02-25T17:00:00Z","Eschbach",,"Germany",,"N333YC","29-0497","false","Aviation","",,,"None","0","0","0",,,,"47.903308000000003","7.621651","MOONEY","M20R","AIR",,"Bremgarten","false","1",,,,"NUSN","Substantial",,,"Landing","N/A",,"Prelim","","None"
"CEN24LA124","ACC","193851","2024-02-25T16:15:00Z","Winchester","Texas","United States",,"N360MD","FLORMAN-002","false","Aviation","",,,"Minor","0","0","1",,,,"30","-97","Searey","Classic","AIR",,"Lake Granger","true","1",,"NSCH","PERS","091","Substantial","VMC",,"Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193851/pdf"
"DCA24LA110","OCC","193849","2024-02-25T05:00:00Z","San Francisco","California","United States",,"N13138",,"false","Aviation","",,,,,,,,,,,,"BOEING","757-224",,,,"false",,,,,,,,"United Airlines","Takeoff","In work",,,"","None"
"DCA24WA114","INC","193863","2024-02-24T23:06:00Z","Charleroi",,"Belgium",,"EI-DYC",,"false","Aviation","",,,"None","0","0","0",,,,"50.460788999999998","4.4594500000000004","BOEING","737","AIR",,"Brussels South Airport","false","2",,,,"NUSC","Minor",,"Ryanair","Landing","N/A",,"Prelim","","None"
"ERA24LA125","ACC","193865","2024-02-24T20:52:00Z","Chamblee","Georgia","United States",,"N30169","5566","false","Aviation","",,,"None","0","0","0",,,,"33.875343000000001","-84.301813999999993","WACO","UPF-7","AIR","PDK","DEKALB-PEACHTREE","false","1",,"NSCH","PERS","091","Unknown",,,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193865/pdf"
